姓名,出生地,当选年份,省,市
姚开泰,江苏昆山,1991,江苏省,苏州市
顾诵芬,江苏苏州,1991,江苏省,苏州市
曹楚南,江苏常熟,1991,江苏省,苏州市
陆熙炎,江苏苏州,1991,江苏省,苏州市
吴传钧,江苏苏州,1991,江苏省,苏州市
章申,江苏常熟,1993,江苏省,苏州市
程耿东,江苏苏州,1995,江苏省,苏州市
徐国钧,江苏常熟,1995,江苏省,苏州市
徐晓白,江苏苏州,1995,江苏省,苏州市
童秉纲,江苏张家港,1997,江苏省,苏州市
薛永祺,江苏张家港,1999,江苏省,苏州市
陆埮,江苏常熟,2003,江苏省,苏州市
王家骐,江苏苏州,2005,江苏省,苏州市
陈志明,江苏苏州,2017,江苏省,苏州市
樊嘉,江苏昆山,2017,江苏省,苏州市
徐义刚,江苏常熟,2017,江苏省,苏州市
樊春海,江苏张家港,2019,江苏省,苏州市
朱敏,江苏苏州,2021,江苏省,苏州市
周国治,南京,1995,江苏省,宿迁市
孙义燧,南京,1997,江苏省,宿迁市
秦国刚,南京,2001,江苏省,宿迁市
刘秀梵,江苏省靖江市（县）,2005,江苏省,泰州市
缪昌文,江苏省姜堰市,2011,江苏省,泰州市
李德群,江苏省泰县,2015,江苏省,泰州市
李德仁,江苏省泰州市,1994,江苏省,泰州市
常印佛,江苏省泰兴市,1994,江苏省,泰州市
张启先,江苏靖江,1995,江苏省,泰州市
侯德原,江苏省泰州市,1995,江苏省,泰州市
童铠,江苏省泰州市,1997,江苏省,泰州市
卢锡城,江苏省靖江市,1999,江苏省,泰州市
李德毅,江苏省泰州市,1999,江苏省,泰州市
陈学庚,江苏省泰兴市,2013,江苏省,泰州市
曹福亮,江苏省泰州市,2015,江苏省,泰州市
万建民,江苏省泰兴市,2015,江苏省,泰州市
邵新宇,江苏省靖江市,2019,江苏省,泰州市
李继侗,江苏兴化,1955,江苏省,泰州市
钮经义,江苏兴化,1980,江苏省,泰州市
朱亚杰,江苏兴化,1980,江苏省,泰州市
夏道行,江苏泰州,1980,江苏省,泰州市
丁舜年,江苏泰兴,1980,江苏省,泰州市
支秉彝,江苏泰州,1980,江苏省,泰州市
王德宝,江苏泰兴,1980,江苏省,泰州市
常印佛,江苏泰兴,1991,江苏省,泰州市
盛金章,江苏靖江,1991,江苏省,泰州市
王德滋,江苏泰兴,1997,江苏省,泰州市
叶培建,江苏泰兴,2003,江苏省,泰州市
翟婉明,江苏靖江,2011,江苏省,泰州市
鄂维南,江苏靖江,2011,江苏省,泰州市
刘云圻,江苏靖江,2015,江苏省,泰州市
陆夕云,江苏泰州,2019,江苏省,泰州市
常进,江苏泰兴,2019,江苏省,泰州市
沙庆林,江苏宜兴,1995,江苏省,无锡市
吴中如,江苏省省宜兴市,1997,江苏省,无锡市
陈国良,江苏宜兴,1999,江苏省,无锡市
潘菽,江苏宜兴,1955,江苏省,无锡市
周培源,江苏宜兴,1955,江苏省,无锡市
唐敖庆,江苏宜兴,1955,江苏省,无锡市
史绍熙,江苏宜兴,1980,江苏省,无锡市
章综,江苏宜兴,1980,江苏省,无锡市
朱既明,江苏宜兴,1980,江苏省,无锡市
朱洪元,江苏宜兴,1980,江苏省,无锡市
吴浩青,江苏宜兴,1980,江苏省,无锡市
程镕时,江苏宜兴,1991,江苏省,无锡市
褚君浩,江苏宜兴,2005,江苏省,无锡市
吴岳良,江苏宜兴,2007,江苏省,无锡市
张旭,江苏宜兴,2015,江苏省,无锡市
孙和平,江苏无锡江阴县,2019,江苏省,无锡市
谈哲敏,江苏宜兴,2021,江苏省,无锡市
薛鸣球,江苏省宜兴市,1995,江苏省,无锡市
陈德仁,江苏省无锡县,1995,江苏省,无锡市
程天民,江苏省宜兴市,1996,江苏省,无锡市
程天民,江苏省宜兴市,1996,江苏省,无锡市
唐西生,江苏省宜兴市,1997,江苏省,无锡市
黄瑞松,江苏省宜兴市,2003,江苏省,无锡市
丁荣军,江苏省宜兴市,2011,江苏省,无锡市
季国标,江苏无锡,1994,江苏省,无锡市
秦伯益,江苏省无锡市,1994,江苏省,无锡市
吴中伟,江苏省江阴市,1994,江苏省,无锡市
王选,江苏无锡,1994,江苏省,无锡市
蒋新松,江苏江阴,1994,江苏省,无锡市
江绍基,江苏无锡,1994,江苏省,无锡市
薛禹胜,江苏省无锡市,1995,江苏省,无锡市
钱鸣高,江苏省无锡市,1995,江苏省,无锡市
周君亮,江苏省无锡市,1995,江苏省,无锡市
陈厚群,江苏省无锡市,1995,江苏省,无锡市
侯芙生,江苏省无锡市,1995,江苏省,无锡市
顾夏声,江苏省无锡,1995,江苏省,无锡市
陈新,江苏省无锡市,1995,江苏省,无锡市
陈太一,江苏省宜兴,1997,江苏省,无锡市
顾真安,江苏省无锡市,1997,江苏省,无锡市
曹湘洪,江苏省江阴市,1999,江苏省,无锡市
曹楚生,江苏省无锡,1999,江苏省,无锡市
刘彤华,江苏无锡,1999,江苏省,无锡市
盖钧镒,江苏省无锡市,2001,江苏省,无锡市
张耀明,江苏省无锡市,2001,江苏省,无锡市
张祖勋,江苏省无锡市,2003,江苏省,无锡市
陈丙珍,江苏省无锡市,2005,江苏省,无锡市
陈志南,江苏省无锡市,2007,江苏省,无锡市
邱贵兴,江苏省无锡市,2007,江苏省,无锡市
沈其荣,江苏省无锡市,2021,江苏省,无锡市
诸福棠,江苏无锡,1955,江苏省,无锡市
张大煜,江苏江阴,1955,江苏省,无锡市
钱临照,江苏无锡,1955,江苏省,无锡市
钱令希,江苏无锡,1955,江苏省,无锡市
承淡安,江苏江阴,1955,江苏省,无锡市
赵承嘏,江苏江阴,1955,江苏省,无锡市
钱伟长,江苏无锡,1956,江苏省,无锡市
王序,江苏无锡,1980,江苏省,无锡市
张煦,江苏无锡,1980,江苏省,无锡市
裘维蕃,江苏无锡,1980,江苏省,无锡市
唐孝威,江苏无锡,1980,江苏省,无锡市
钱钟韩,江苏无锡,1980,江苏省,无锡市
钱保功,江苏江阴,1980,江苏省,无锡市
王补宣,江苏无锡,1980,江苏省,无锡市
王选,江苏无锡,1991,江苏省,无锡市
杨芙清,江苏无锡,1991,江苏省,无锡市
匡定波,江苏无锡,1991,江苏省,无锡市
戴念慈,江苏无锡,1991,江苏省,无锡市
巢纪平,江苏无锡,1995,江苏省,无锡市
许智宏,江苏无锡,1997,江苏省,无锡市
过增元,江苏无锡,1997,江苏省,无锡市
钱逸泰,江苏无锡,1997,江苏省,无锡市
周锡元,江苏无锡,1997,江苏省,无锡市
薛禹群,江苏无锡,1999,江苏省,无锡市
杜江峰,江苏无锡,2015,江苏省,无锡市
王红阳,江苏省徐州市,2005,江苏省,徐州市
张建云,江苏省沛县,2009,江苏省,徐州市
侯立安,江苏省徐州市,2009,江苏省,徐州市
孟建民,江苏省徐州市,2015,江苏省,徐州市
朱广生,江苏省沛县,2019,江苏省,徐州市
黄殿中,江苏省徐州市,2021,江苏省,徐州市
郑万钧,江苏徐州,1955,江苏省,徐州市
胡宁,江苏宿迁,1955,江苏省,徐州市
武衡,江苏徐州,1955,江苏省,徐州市
张涵信,江苏沛县,1991,江苏省,徐州市
张裕恒,江苏宿迁,2005,江苏省,徐州市
任露泉,江苏铜山,2007,江苏省,徐州市
宋微波,江苏睢宁,2015,江苏省,徐州市
夏咸柱,江苏省盐城市建湖县,2003,江苏省,盐城市
于俊崇,江苏省盐城市滨海县,2009,江苏省,盐城市
戴浩,江苏省阜宁县,2005,江苏省,盐城市
赵连城,江苏省盐城市,2003,江苏省,盐城市
李立浧,江苏省建湖县,2007,江苏省,盐城市
王超,江苏省滨海县,2011,江苏省,盐城市
王学浩,江苏省建湖县,2011,江苏省,盐城市
郭仁忠,江苏省盐城市,2013,江苏省,盐城市
顾大钊,江苏省滨海县,2015,江苏省,盐城市
唐洪武,江苏省建湖县,2021,江苏省,盐城市
陆士新,江苏盐城,1997,江苏省,盐城市
周俊,江苏东台,1999,江苏省,盐城市
王诗宬,江苏盐城,2005,江苏省,盐城市
陈义汉,江苏射阳,2015,江苏省,盐城市
芮筱亭,江苏盐城,2017,江苏省,盐城市
杨金龙,江苏盐城,2019,江苏省,盐城市
封东来,江苏盐城,2021,江苏省,盐城市
钱旭红,江苏省扬州宝应市,2011,江苏省,扬州市
许国志,江苏省扬州市,1995,江苏省,扬州市
沈家祥,江苏省扬州市,1999,江苏省,扬州市
周世宁,江苏省扬州市,1999,江苏省,扬州市
张乃通,江苏省扬州市,2001,江苏省,扬州市
徐銤,江苏省扬州市,2011,江苏省,扬州市
尤政,江苏省扬州市,2013,江苏省,扬州市
王广基,江苏省扬州市,2013,江苏省,扬州市
戴厚良,江苏省扬州市,2017,江苏省,扬州市
陈坚,江苏省扬州市,2017,江苏省,扬州市
张佳宝,江苏省高邮市,2019,江苏省,扬州市
陈卫,江苏省扬州市,2019,江苏省,扬州市
王琦,江苏省高邮市,2019,江苏省,扬州市
陈桢,江苏邗江,1948,江苏省,扬州市
孙云铸,江苏高邮,1955,江苏省,扬州市
李方训,江苏仪征,1955,江苏省,扬州市
柳大纲,江苏仪征,1955,江苏省,扬州市
朱物华,江苏扬州,1955,江苏省,扬州市
黄鸣龙,江苏扬州,1955,江苏省,扬州市
王葆仁,江苏扬州,1980,江苏省,扬州市
徐芝纶,江苏江都,1980,江苏省,扬州市
施履吉,江苏仪征,1980,江苏省,扬州市
张礼和,江苏扬州,1995,江苏省,扬州市
周本濂,江苏扬州,1997,江苏省,扬州市
严加安,江苏邗江,1999,江苏省,扬州市
黄琳,江苏扬州,2003,江苏省,扬州市
黄宪,江苏扬州,2003,江苏省,扬州市
江明,江苏扬州,2005,江苏省,扬州市
陈晓亚,江苏扬州,2005,江苏省,扬州市
周忠和,江苏扬州,2011,江苏省,扬州市
孙鑫,江苏扬州,2013,江苏省,扬州市
杨德仁,江苏扬州,2017,江苏省,扬州市
钱锋,江苏省扬中县,2015,江苏省,镇江市
王越,江苏省丹阳市,1994,江苏省,镇江市
杨启业,江苏省镇江市,1997,江苏省,镇江市
钱清泉,江苏省丹阳市,1997,江苏省,镇江市
孙家广,江苏省镇江市,1999,江苏省,镇江市
马伟明,江苏省扬中市,2001,江苏省,镇江市
王礼恒,江苏省镇江市,2003,江苏省,镇江市
段正澄,江苏省镇江市,2009,江苏省,镇江市
贾伟平,江苏镇江,2021,江苏省,镇江市
茅以升,江苏镇江,1948,江苏省,镇江市
周志宏,江苏丹徒,1955,江苏省,镇江市
林镕,江苏丹阳,1955,江苏省,镇江市
戴安邦,江苏丹徒,1980,江苏省,镇江市
周秀骥,江苏丹阳,1991,江苏省,镇江市
汪尔康,江苏镇江,1991,江苏省,镇江市
吕敏,江苏丹阳,1991,江苏省,镇江市
王越,江苏丹阳,1991,江苏省,镇江市
于渌,江苏镇江,1999,江苏省,镇江市
吴宏鑫,江苏丹徒,2003,江苏省,镇江市
彭堃墀,江苏镇江,2003,江苏省,镇江市
包信和,江苏扬中,2009,江苏省,镇江市
郑泉水,江西金溪县,2019,江西省,抚州市
艾兴,江西省东乡县,1999,江西省,抚州市
陈芬儿,江西省抚州市,2015,江西省,抚州市
饶毓泰,江西临川,1948,江西省,抚州市
余瑞璜,江西宜黄,1955,江西省,抚州市
程孝刚,江西宜黄,1955,江西省,抚州市
吴式枢,江西宜黄,1980,江西省,抚州市
邓从豪,江西临川,1993,江西省,抚州市
钟登华,江西省赣州市,2009,江西省,赣州市
孙金声,江西省于都县,2017,江西省,赣州市
张家铝,江西赣州,2005,江西省,赣州市
赖远明,江西龙南,2011,江西省,赣州市
黄路生,江西上犹,2011,江西省,赣州市
李蓬,江西宁都,2015,江西省,赣州市
曾庆元,江西省泰和县原籍,1999,江西省,吉安市
邓建军,江西省吉安市,2017,江西省,吉安市
盛彤笙,江西永新,1955,江西省,吉安市
熊大闰,江西吉安,1991,江西省,吉安市
欧阳自远,江西吉安,1991,江西省,吉安市
游效曾,江西吉安,1991,江西省,吉安市
徐建中,江西吉安,1995,江西省,吉安市
郭烈锦,江西遂川县,2017,江西省,吉安市
赵天寿,陕西,2019,江西省,吉安市
陈晔光,江西乐安县,2017,江西省,景德镇市
詹启敏,江西省乐平市,2011,江西省,景德镇市
王启明,福建,1991,江西省,景德镇市
张俐娜,福建,2011,江西省,景德镇市
于全,江西省九江市,2009,江西省,九江市
周卫,江西省湖口县,2021,江西省,九江市
吴征镒,江西九江,1955,江西省,九江市
潘际銮,江西九江,1980,江西省,九江市
杨叔子,江西湖口,1991,江西省,九江市
甘晓华,江西省临川县（今属进贤县）,2011,江西省,南昌市
周镜,江西省南昌市,1994,江西省,南昌市
钟掘,江西省南昌市,1995,江西省,南昌市
王景全,江西省南昌市,2003,江西省,南昌市
蔡方荫,江西南昌,1955,江西省,南昌市
谢光选,江西南昌,1991,江西省,南昌市
黄克智,江西南昌,1991,江西省,南昌市
阳含熙,江西南昌,1991,江西省,南昌市
林皋,江西南昌,1997,江西省,南昌市
朱中梁,江西南昌,1999,江西省,南昌市
方岱宁,江西南昌,2013,江西省,南昌市
汤超,江西南昌,2019,江西省,南昌市
李劲松,江西南昌,2021,江西省,南昌市
刘天泉,江西省萍乡县,1994,江西省,萍乡市
颜龙安,江西省萍乡市,2007,江西省,萍乡市
彭苏萍,江西省萍乡市,2007,江西省,萍乡市
徐祖信,江西省萍乡市,2019,江西省,萍乡市
严新平,江西省莲花县,2019,江西省,萍乡市
吴学周,江西萍乡,1948,江西省,萍乡市
刘恢先,江西莲花,1980,江西省,萍乡市
陈述彭,江西萍乡,1980,江西省,萍乡市
简水生,江西萍乡,1995,江西省,萍乡市
刘友梅,江西省上饶市,1999,江西省,上饶市
程书钧,江西省玉山县,1999,江西省,上饶市
石屏,江西省鄱阳县,2003,江西省,上饶市
黄璐琦,江西省婺源县,2015,江西省,上饶市
柴立元,江西省万年县,2019,江西省,上饶市
杨惟义,江西上饶,1955,江西省,上饶市
黄家驷,江西玉山,1955,江西省,上饶市
俞鸿儒,江西广丰,1991,江西省,上饶市
江风益,江西余干县,2019,江西省,上饶市
谢明勇,江西省新余市,2021,江西省,新余市
杨春和,江西省宜春市,2019,江西省,宜春市
吴有训,江西高安,1948,江西省,宜春市
徐采栋,江西奉新,1980,江西省,宜春市
张效祥,浙江,1991,江西省,宜春市
刘高联,江西奉新,1999,江西省,宜春市
温诗铸,江西丰城,1999,江西省,宜春市
江元生,江西宜春,2005,江西省,宜春市
龚健雅,江西樟树,2011,江西省,宜春市
刘明,江西丰城,2015,江西省,宜春市
朱伯芳,江西省鹰潭市,1995,江西省,鹰潭市
张福泽,辽宁省岫岩县,1995,辽宁省,鞍山市
封锡盛,辽宁省海城市,1999,辽宁省,鞍山市
戴景瑞,辽宁省海城市,2001,辽宁省,鞍山市
孙铁珩,辽宁省海城市,2001,辽宁省,鞍山市
魏毅寅,辽宁省台安县,2019,辽宁省,鞍山市
于吉红,辽宁鞍山,2015,辽宁省,鞍山市
张杰,辽宁省本溪市,1997,辽宁省,本溪市
李松,辽宁省本溪市,2015,辽宁省,本溪市
张希,辽宁本溪,2007,辽宁省,本溪市
陈晓非,辽宁本溪,2015,辽宁省,本溪市
王国庆,辽宁省朝阳市,2021,辽宁省,朝阳市
贾振元,辽宁朝阳,2019,辽宁省,朝阳市
卜显和,辽宁朝阳,2021,辽宁省,朝阳市
孙昌璞,辽宁普兰店,2009,辽宁省,大连市
谢在库,辽宁普兰店,2017,辽宁省,大连市
刘鸿亮,辽宁省大连市,1994,辽宁省,大连市
汪顺亭,辽宁省大连市,1995,辽宁省,大连市
于维汉,辽宁省大连市,1997,辽宁省,大连市
唐启升,辽宁省大连市,1999,辽宁省,大连市
杜善义,辽宁省大连市,1999,辽宁省,大连市
桑凤亭,辽宁省大连市,2003,辽宁省,大连市
王国栋,辽宁省大连市,2005,辽宁省,大连市
赵晓哲,辽宁省大连市,2011,辽宁省,大连市
高文,辽宁省大连市,2011,辽宁省,大连市
蒋庄德,辽宁省庄河市,2013,辽宁省,大连市
韩德民,辽宁省大连市,2013,辽宁省,大连市
徐建,辽宁省大连市,2019,辽宁省,大连市
万立骏,辽宁大连,2009,辽宁省,大连市
高原宁,辽宁大连,2019,辽宁省,大连市
于贵瑞,辽宁大连,2019,辽宁省,大连市
张子仪,山西,1997,辽宁省,丹东市
白春礼,辽宁丹东,1997,辽宁省,丹东市
刘嘉麒,辽宁丹东,2003,辽宁省,丹东市
张继平,山西,2019,辽宁省,丹东市
陈福田,辽宁省抚顺市,2007,辽宁省,抚顺市
汪景琇,辽宁抚顺,2013,辽宁省,抚顺市
马建章,辽宁省阜新市,1995,辽宁省,阜新市
李坚,辽宁省阜新市,2011,辽宁省,阜新市
母国光,辽宁锦西,1993,辽宁省,葫芦岛市
戚发轫,辽宁省复县,2001,辽宁省,葫芦岛市
李天来,辽宁省绥中县,2015,辽宁省,葫芦岛市
康玉柱,辽宁省北宁市,2005,辽宁省,锦州市
王淀佐,辽宁凌海,1991,辽宁省,锦州市
王淀佐,辽宁省凌海市,1994,辽宁省,锦州市
杨凤田,辽宁省义县,2007,辽宁省,锦州市
金智新,辽宁省锦州市,2015,辽宁省,锦州市
窦国仁,辽宁北镇,1991,辽宁省,锦州市
常文瑞,辽宁锦州,2005,辽宁省,锦州市
丁德文,辽宁省辽阳市,1994,辽宁省,辽阳市
沈荣显,辽宁省辽阳,1995,辽宁省,辽阳市
王兴治,辽宁省辽阳市,1995,辽宁省,辽阳市
衣宝廉,辽宁省辽阳县,2003,辽宁省,辽阳市
王立鼎,辽宁辽阳,1995,辽宁省,辽阳市
赵柏林,辽宁辽中,1991,辽宁省,沈阳市
孙家栋,辽宁盖县,1991,辽宁省,沈阳市
金国藩,辽宁省沈阳市,1994,辽宁省,沈阳市
高守一,辽宁省新民市,1994,辽宁省,沈阳市
关兴亚,辽宁省沈阳市,1995,辽宁省,沈阳市
韩英铎,辽宁省沈阳市,1995,辽宁省,沈阳市
关君蔚,辽宁省沈阳市,1995,辽宁省,沈阳市
吴咸中,辽宁省新民市,1996,辽宁省,沈阳市
柯伟,辽宁省沈阳市,1997,辽宁省,沈阳市
李连达,辽宁省沈阳市,2003,辽宁省,沈阳市
王玉普,辽宁新民,2007,辽宁省,沈阳市
陈温福,辽宁省法库县,2009,辽宁省,沈阳市
杨绍卿,辽宁省康平县,2011,辽宁省,沈阳市
韩雅玲,辽宁省沈阳市,2013,辽宁省,沈阳市
孙聪,辽宁省沈阳市,2015,辽宁省,沈阳市
姜会林,辽宁省沈阳市,2015,辽宁省,沈阳市
姜保国,辽宁省沈阳市,2021,辽宁省,沈阳市
蓝羽石,辽宁省沈阳市,2021,辽宁省,沈阳市
吴英恺,辽宁新民,1955,辽宁省,沈阳市
周惠久,辽宁沈阳,1980,辽宁省,沈阳市
刘东生,辽宁沈阳,1980,辽宁省,沈阳市
卢鹤绂,辽宁沈阳,1980,辽宁省,沈阳市
谭其骧,辽宁沈阳,1980,辽宁省,沈阳市
王方定,辽宁沈阳,1991,辽宁省,沈阳市
马在田,辽宁法库,1991,辽宁省,沈阳市
赵忠贤,辽宁新民,1991,辽宁省,沈阳市
赵鹏大,沈阳,1993,辽宁省,沈阳市
秦蕴珊,辽宁沈阳,1995,辽宁省,沈阳市
裴钢,辽宁沈阳,1999,辽宁省,沈阳市
郭爱克,辽宁沈阳,2003,辽宁省,沈阳市
赵东元,辽宁沈阳,2007,辽宁省,沈阳市
王恩哥,辽宁沈阳,2007,辽宁省,沈阳市
朱荻,辽宁沈阳,2011,辽宁省,沈阳市
祝学军,辽宁沈阳,2019,辽宁省,沈阳市
马兰,辽宁沈阳,2019,辽宁省,沈阳市
王以政,辽宁沈阳,2021,辽宁省,沈阳市
刘宝琛,辽宁省开源市,1994,辽宁省,铁岭市
王永志,辽宁昌图县,1994,辽宁省,铁岭市
辛德惠,辽宁省开原,1995,辽宁省,铁岭市
尚红,辽宁省铁岭市,2019,辽宁省,铁岭市
张树政,河北束鹿,1991,辽宁省,营口市
宫声凯,辽宁省盖县,2019,辽宁省,营口市
黄其励,辽宁省营口市,1997,辽宁省,营口市
任发政,辽宁省营口市,2019,辽宁省,营口市
梅洪元,辽宁省营口市,2021,辽宁省,营口市
赵国春,辽宁,2019,辽宁省,鞍山市
刘兴土,马来西亚马六甲,2007,马来西亚,马六甲
温俊峰,内蒙古自治区五原县,1997,内蒙古自治区,巴彦淖尔市
高长青,内蒙古包头市,2015,内蒙古自治区,包头市
董尔丹,内蒙古自治区包头市,2019,内蒙古自治区,包头市
郝芳,内蒙古自治区赤峰敖汉旗,2015,内蒙古自治区,赤峰市
毛二可,内蒙自治区赤峰市,1995,内蒙古自治区,赤峰市
马玉山,内蒙古省鄂尔多斯市,2021,内蒙古自治区,鄂尔多斯市
付梦印,内蒙古自治区鄂尔多斯市,2021,内蒙古自治区,鄂尔多斯市
武强,内蒙古自治区呼和浩特市,2015,内蒙古自治区,呼和浩特市
马永生,内蒙古自治区土默特左旗市,2009,内蒙古自治区,呼和浩特市
张涌,内蒙古自治区和林格尔县,2019,内蒙古自治区,呼和浩特市
旭日干,内蒙古自治区科右前旗,1995,内蒙古自治区,科尔沁右前旗
闫楚良,内蒙通辽,2015,内蒙古自治区,通辽市
郝水,内蒙古通辽,1993,内蒙古自治区,通辽市
李建成,内蒙古自治区集宁市,2011,内蒙古自治区,乌兰察布市
赵进才,内蒙古自治区丰镇,2011,内蒙古自治区,乌兰察布市
张立群,内蒙古自治区多伦县,2021,内蒙古自治区,锡林郭勒盟
张经,内蒙古自治区,2007,内蒙古自治区,内蒙古自治区
唐立,宁夏回族自治区石嘴山市,2017,宁夏回族自治区,石嘴山市
张锦,宁夏同心,2019,宁夏回族自治区,吴忠市
俞大鹏,宁夏中卫,2015,宁夏回族自治区,中卫市
高山,青海西宁,2011,青海省,西宁市
黄建平,青海西宁,2021,青海省,西宁市
王大珩,日本东京,1994,日本,东京市
王世真,日本千叶,1980,日本,千叶
魏可镁,日本人吉市,1997,日本,人吉市
彭实戈,山东滨县,2005,山东省,滨州市
宁光,山东省滨州市,2015,山东省,滨州市
刘泽金,山东省无棣县,2017,山东省,滨州市
魏炳波,山东惠民县,2011,山东省,滨州市
李博,山东夏津县,1993,山东省,德州市
王玉鹏,山东武城县,2021,山东省,德州市
任继周,山东省平原县,1995,山东省,德州市
管华诗,山东省夏津县,1995,山东省,德州市
张炳炎,山东省庆云县,1995,山东省,德州市
赵振东,山东省德州市,2013,山东省,德州市
伍献文,浙江瑞安,1948,山东省,德州市
戴金星,浙江瑞安,1995,山东省,德州市
伍荣生,浙江瑞安,1999,山东省,德州市
高德利,山东禹城,2013,山东省,德州市
李文华,山东省东营市,1997,山东省,东营市
吕跃广,山东省东营市,2011,山东省,东营市
侯保荣,山东省菏泽市曹县,2003,山东省,菏泽市
袁士义,山东省曹县,2005,山东省,菏泽市
李培武,山东省菏泽市,2019,山东省,菏泽市
张广学,山东定陶,1991,山东省,菏泽市
于天仁,山东郓城,1995,山东省,菏泽市
张嗣瀛,山东章丘,1997,山东省,济南市
陈秉聪,山东省黄县,1995,山东省,济南市
周丰峻,山东省黄县,1999,山东省,济南市
郑哲敏,山东省济南市,1994,山东省,济南市
张寿荣,山东省济南市,1995,山东省,济南市
张寿荣,山东省济南市,1995,山东省,济南市
马国馨,山东省济南市,1997,山东省,济南市
崔崑,山东省济南市,1997,山东省,济南市
高洁,山东省济南市,1999,山东省,济南市
曹雪涛,山东省济南市,2005,山东省,济南市
李玉,山东省济南市,2009,山东省,济南市
王恩东,山东省济南市,2015,山东省,济南市
张宗亮,山东省济南市,2021,山东省,济南市
郑哲敏,山东济南,1980,山东省,济南市
毕德显,山东平阴,1980,山东省,济南市
苗永瑞,山东济南,1991,山东省,济南市
李济生,山东济南,1997,山东省,济南市
崔尔杰,山东济南,1999,山东省,济南市
吴养洁,山东济南,2003,山东省,济南市
宋礼成,山东济南,2007,山东省,济南市
顾玉东,山东省章丘县,1994,山东省,济南市
马世骏,,1980,山东省,济宁市
郝吉明,山东省梁山县,2005,山东省,济宁市
殷宏章,山东兖州,1948,山东省,济宁市
张致一,山东泗水,1980,山东省,济宁市
佟振合,山东梁山,1999,山东省,济宁市
王涛,山东省胶县,1994,山东省,胶州市
郭旭升,山东省茌平市,2019,山东省,聊城市
